,emojis,hashtag,hahalol,Output
1024116763875782663,8,1,1,1
1041376079607418880,7,3,1,1
720250213,2,1,1,1
917503412,1,5,1,0
1693987878,1,5,1,0
1032695568416628738,1,2,1,0
932012224071086080,3,1,1,1
969312715163488258,1,3,1,0
208739281,1,1,1,0
1236517999022166017,1,2,1,1
214284819,1,1,1,0
768157332543070210,1,2,1,0
1953285932,3,1,1,0
853288734472589312,1,1,1,0
2547249505,3,2,1,0
602110894,1,5,1,0
1193985186914066433,1,8,1,0
14275384,1,8,1,0
1059869741609820160,1,4,1,0
2182726278,1,6,1,0
1128003659516792832,1,6,1,0
2243936072,1,4,1,0
117875503,1,1,1,0
512549588,1,6,1,0
1186291148450598912,1,5,1,0
147684224,1,1,1,0
1046880498893635585,1,1,1,0
1718783106,5,1,1,1
37225019,3,1,1,0
1234566087385239552,1,1,1,0
3845832693,2,4,1,0
531693744,1,1,1,0
21622581,2,1,1,0
1019573080363032577,1,5,1,0
37191062,2,3,1,0
3318523992,1,7,1,0
1255843832958201857,1,1,1,0
869576194571874304,1,1,1,0
265174022,3,1,1,1
8446722,1,1,1,0
1253719502581309440,-1,-1,-1,1
1170971584116297728,1,1,1,0
91008358,1,4,1,0
467609115,1,3,1,0
750772760981430272,1,3,1,0
513336646,1,9,1,0
210684204,1,1,1,0
486905362,1,1,1,0
1174002253159706624,1,2,1,0
1618750082,2,1,1,1
239509237,1,1,1,0
244366326,10,1,1,1
86155540,1,1,1,0
1179468850204729344,2,1,1,0
42883134,1,2,1,0
816419151875018752,1,2,1,0
121888165,7,1,1,0
1168586682033168385,1,1,1,1
729920084,1,3,1,0
191909440,1,2,1,0
903432592829157378,1,2,1,0
780536169087930370,1,1,1,0
30439846,1,1,1,0
1035624732811567104,1,3,1,0
965492083837538304,1,1,1,0
1071828084788289536,2,1,1,0
106746610,1,6,1,0
320846576,1,2,1,0
426824026,1,1,1,0
1062845414334980096,1,2,1,0
722464536826089472,4,4,1,0
1860498036,1,1,1,0
231862478,3,1,1,0
863344063,5,4,1,0
25845634,2,1,1,0
1189987485021016064,1,1,1,0
327010691,1,10,1,0
1485393704,1,1,1,0
268480407,1,5,1,0
226597335,2,2,2,0
357618204,1,2,1,0
4854689775,5,1,1,1
1240756985764745219,2,1,1,0
3011355879,1,5,1,0
2374863445,1,1,1,0
2474146812,1,2,1,0
833794314878775296,1,1,1,1
1118412923536150530,1,1,1,1
114801535,1,3,1,0
93263074,1,1,1,0
41754728,3,1,1,0
27109767,1,1,1,0
1558541479,3,1,1,1
2780698567,1,1,1,0
952869684,4,1,1,1
989311410600542210,1,2,1,0
1042077054693527552,1,3,1,0
47449651,3,1,1,1
593055173,1,1,1,0
2308432407,1,1,1,1
399601735,1,3,1,0
29599690,1,8,1,0
2320089686,1,1,1,1
215024626,1,3,1,0
1106646229352673282,1,1,1,0
829488593542533120,3,2,1,1
83847457,3,1,1,0
1265393978733662214,3,1,1,1
1234412299668148225,7,1,1,1
1090095386608455681,2,1,1,0
20547002,1,1,1,0
2241009402,2,2,1,0
952243365243949056,1,1,1,0
1213126621223247872,1,1,1,0
3939582921,4,1,1,0
1224763398384181250,1,1,1,0
4884989751,2,1,1,0
2990997005,1,1,1,0
24415586,2,3,1,0
614694333,2,3,1,0
998310887940378625,2,1,1,0
3347278751,5,1,1,1
1641182455,1,4,1,1
16245208,1,2,1,0
1613756328,1,4,1,0
4717632293,1,3,1,0
3835919794,6,2,1,1
394879847,2,1,1,0
18358270,1,3,1,0
4185125062,4,1,1,0
462646806,1,7,1,0
1088464958910799872,3,1,1,0
297608951,1,1,1,0
865116270,3,1,1,1
2423538722,5,1,1,0
4427169567,1,2,1,0
137298309,1,1,1,0
835616792919814144,2,1,1,1
992409422382190594,1,3,1,0
182332519,2,2,1,0
928899672470708225,3,1,1,0
1174015153135869952,1,1,1,0
1222895885899747328,1,1,1,0
1014879949805801472,1,5,1,0
